Transaction_ID,Date,GL_Code,Account,Description,DEBIT,CREDIT
creditcard-2-130,2023-02-06,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: CHIPOTLE ONLINE 949524400,,22.85
creditcard-2-131,2023-02-06,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,14.94,
creditcard-2-132,2023-02-06,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,,14.94
creditcard-2-133,2023-02-06,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,1.92,
creditcard-2-134,2023-02-06,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,,1.92
creditcard-2-135,2023-02-06,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART J STREET 831-20198,5.79,
creditcard-2-136,2023-02-06,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART J STREET 831-20198,,5.79
creditcard-2-137,2023-02-08,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,10.76,
creditcard-2-138,2023-02-08,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,,10.76
creditcard-2-139,2023-02-08,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,5.79,
creditcard-2-140,2023-02-08,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,,5.79
creditcard-2-141,2023-02-08,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,1.92,
creditcard-2-142,2023-02-08,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,,1.92
creditcard-2-143,2023-02-08,600601.0,"Hobbies - hobby, toy or games stores",MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,7.87,
